nombre_de_la_campaaa,nombre_del_conjunto_de_anuncios,nombre_del_anuncio,fecha,tipo_de_resultado,resultados,frecuencia,costo_por_resultado,importe_gastado_mxn,impresiones,cpm_costo_por_mil_impresiones,clics_en_el_enlace,cpc_costo_por_clic_en_el_enlace,ctr_porcentaje_de_clics_en_el_enlace,objetivo,mes,importe_gastado_mxn_con_iva,dia_semana,cuartil,CVR,quadrant,categoria_campana,outlier_flag
Lead Gen - Reels,Reels - Lookalike,Abril - Cosas por las que ya no tienes que preocuparte,07/05/2023,Clientes potenciales de Meta,16,1.04902494,257.44,4119.07,30877,133.4025326,87,47.34563218,0.28176312,Clientes potenciales,5,4778.1212,Sunday,Q4,0.051818506,Éxito Total,Conversiones,FALSE
Lead Gen - Reels,Reels - Lookalike,Marzo - Audio Que hermoso,07/05/2023,Sin resultado,0,1.0747331,0,235.14,1510,155.7218543,4,58.785,0.26490066,Clientes potenciales,5,272.7624,Sunday,Q3,0,Interés sin conversión,Conversiones,FALSE
Lead Gen - Imagen,Lead Ads - Lookalike,Corporativo - 2023,07/05/2023,Sin resultado,0,1.15664557,0,163.62,731,223.8303694,2,81.81,0.27359781,Clientes potenciales,5,189.7992,Sunday,Q3,0,Interés sin conversión,Conversiones,FALSE
Awareness - COLD,COLD - Abierta,Cold #1,07/05/2023,Alcance,41347,1.00943237,3.12,129.09,41737,3.09293912,18,7.17166667,0.0431272,Reconocimiento,5,149.7444,Sunday,Q2,0.043127201,"Poca visibilidad, buen cierre",Awareness,FALSE
Awareness - COLD,COLD - Abierta,Cold #2 - 2024,07/05/2023,Alcance,76098,1.02278641,2.98,226.44,77832,2.9093432,74,3.06,0.09507658,Reconocimiento,5,262.6704,Sunday,Q3,0.095076575,"Poca visibilidad, buen cierre",Awareness,FALSE
Lead Gen - Reels,Reels - Audiencia Abierta,Marzo - Go Go,07/05/2023,Clientes potenciales de Meta,8,1.08180443,498.27,3986.13,32902,121.1516017,96,41.5221875,0.29177558,Clientes potenciales,5,4623.9108,Sunday,Q4,0.024314631,Éxito Total,Conversiones,FALSE
Lead Gen - Reels,Reels - Audiencia Abierta,Abril - Esta es tu seÃ±al,07/05/2023,Clientes potenciales de Meta,1,1.06703911,88.02,88.02,573,153.6125655,2,44.01,0.34904014,Clientes potenciales,5,102.1032,Sunday,Q2,0.17452007,Éxito Total,Conversiones,FALSE
CONTENIDO,Descargables,7 habilidades que todo lÃ­der debe desarrollar,07/05/2023,Sin resultado,0,1.06818182,0,8.04,47,171.0638298,0,0,0,Clientes potenciales,5,9.3264,Sunday,Q1,0,Campaña fallida,Conversiones,TRUE
CONTENIDO,Descargables,El poder de la colaboraciÃ³n: cÃ³mo los roles adecuados pueden transformar tu equipo de trabajo,07/05/2023,Sin resultado,0,1.14393939,0,47.37,453,104.5695364,0,0,0,Clientes potenciales,5,54.9492,Sunday,Q2,0,Campaña fallida,Conversiones,FALSE
Ecommerce - TrÃ¡fico,General,Daypass #2,07/05/2023,Sin resultado,0,1.09243697,0,0.52,130,4,0,0,0,TrÃ¡fico,5,0.6032,Sunday,Q1,0,Campaña fallida,Tráfico,FALSE
CONTENIDO,Descargables,Impacto de los espacios de trabajo flexibles para el Ã©xito empresarial,07/05/2023,Sin resultado,0,1,0,2.03,20,101.5,0,0,0,Clientes potenciales,5,2.3548,Sunday,Q1,0,Campaña fallida,Conversiones,TRUE
Centros (Cash Burn + Baja OcupaciÃ³n),Centros CDMX,Paseo Boreal,07/05/2023,Sin resultado,0,1.105,0,44.89,221,203.122172,0,0,0,Clientes potenciales,5,52.0724,Sunday,Q2,0,Campaña fallida,Conversiones,FALSE
Ecommerce - TrÃ¡fico,General,Adaptalo a ti #2,07/05/2023,Clics en el enlace,1,1.19178082,0.53,0.53,87,6.09195402,1,0.53,1.14942529,TrÃ¡fico,5,0.6148,Sunday,Q1,1.149425287,Éxito Total,Tráfico,FALSE
Lead Gen - Reels,Reels - Audiencia Abierta,Julio - Vibe,07/05/2023,Clientes potenciales de Meta,1,1.12521441,1769.06,1769.06,10496,168.5461128,25,70.7624,0.23818598,Clientes potenciales,5,2052.1096,Sunday,Q4,0.009527439,Interés sin conversión,Conversiones,FALSE
Lead Gen - Reels,Reels - Audiencia Abierta,Julio - Sala de juntas,07/05/2023,Sin resultado,0,1.0375,0,55.01,332,165.6927711,2,27.505,0.60240964,Clientes potenciales,5,63.8116,Sunday,Q2,0,Interés sin conversión,Conversiones,FALSE
Lead Gen - Reels,Reels - Lookalike,Julio - Sala de juntas,07/05/2023,Sin resultado,0,1.03030303,0,4.89,34,143.8235294,0,0,0,Clientes potenciales,5,5.6724,Sunday,Q1,0,Campaña fallida,Conversiones,TRUE
Lead Gen - Reels,Reels - Lookalike,Julio - Vibe,07/05/2023,Sin resultado,0,1.01688312,0,93.53,783,119.4508301,1,93.53,0.12771392,Clientes potenciales,5,108.4948,Sunday,Q2,0,Campaña fallida,Conversiones,FALSE
Ecommerce - TrÃ¡fico,General,Video,07/05/2023,Clics en el enlace,286,1.04371022,0.7,200.63,11151,17.99210833,286,0.7015035,2.5647924,TrÃ¡fico,5,232.7308,Sunday,Q3,2.564792395,Éxito Total,Tráfico,FALSE
CONTENIDO,Boost ArtÃ­culos,26-jun,07/05/2023,Sin resultado,0,1.11428571,0,0.83,39,21.28205128,0,0,0,Clientes potenciales,5,0.9628,Sunday,Q1,0,Campaña fallida,Conversiones,TRUE
CONTENIDO,Boost ArtÃ­culos,19 de junio,07/05/2023,Sin resultado,0,1,0,0.29,27,10.74074074,0,0,0,Clientes potenciales,5,0.3364,Sunday,Q1,0,Campaña fallida,Conversiones,TRUE
CONTENIDO,Boost ArtÃ­culos,29 de mayo,07/05/2023,Sin resultado,0,1,0,0.06,9,6.66666667,0,0,0,Clientes potenciales,5,0.0696,Sunday,Q1,0,Campaña fallida,Conversiones,TRUE
CONTENIDO,Boost ArtÃ­culos,23 de mayo,07/05/2023,Sin resultado,0,1.05980066,0,22.42,319,70.28213166,0,0,0,Clientes potenciales,5,26.0072,Sunday,Q1,0,Campaña fallida,Conversiones,FALSE
Centros (Cash Burn + Baja OcupaciÃ³n),Centros CDMX,Plaza Ãurea,07/05/2023,Clientes potenciales de Meta,1,1.35785953,385.36,385.36,1218,316.3875205,8,48.17,0.65681445,Clientes potenciales,5,447.0176,Sunday,Q4,0.082101806,Éxito Total,Conversiones,FALSE
Lead Gen - Imagen,Lead Ads - Audiencia Abierta,Corporativo - 2023,07/05/2023,Clientes potenciales de Meta,1,1.05382436,54.3,54.3,372,145.9677419,0,0,0,Clientes potenciales,5,62.988,Sunday,Q2,0.268817204,"Poca visibilidad, buen cierre",Conversiones,FALSE
Lead Gen - Imagen,Lead Ads - Audiencia Abierta,Oficina Equipada - 2023,07/05/2023,Sin resultado,0,1.14213198,0,37,225,164.4444444,0,0,0,Clientes potenciales,5,42.92,Sunday,Q1,0,Campaña fallida,Conversiones,FALSE
Lead Gen - Imagen,Lead Ads - Audiencia Abierta,Coworking - 2023,07/05/2023,Clientes potenciales de Meta,3,1.23584355,374.54,1123.61,4234,265.3778933,21,53.5052381,0.49598488,Clientes potenciales,5,1303.3876,Sunday,Q4,0.070854983,Éxito Total,Conversiones,FALSE
Lead Gen - Imagen,Lead Ads - Lookalike,Oficina Equipada - 2023,07/05/2023,Sin resultado,0,1.25412905,0,1496.79,5695,262.8252853,10,149.679,0.17559263,Clientes potenciales,5,1736.2764,Sunday,Q4,0,Campaña fallida,Conversiones,FALSE
Centros (Cash Burn + Baja OcupaciÃ³n),Centros MTY,Avanta Gardens,07/05/2023,Clientes potenciales de Meta,2,1.24608501,155.71,311.42,1114,279.551167,6,51.90333333,0.53859964,Clientes potenciales,5,361.2472,Sunday,Q4,0.179533214,Éxito Total,Conversiones,FALSE
Centros (Cash Burn + Baja OcupaciÃ³n),Centros CDMX,Plaza Korso,07/05/2023,Sin resultado,0,1.16229117,0,163.02,487,334.7433265,0,0,0,Clientes potenciales,5,189.1032,Sunday,Q3,0,Campaña fallida,Conversiones,FALSE
Ecommerce - TrÃ¡fico,General,Salas de Juntas #2,07/05/2023,Clics en el enlace,84,1.25630891,0.55,46.4,4132,11.22942885,84,0.55238095,2.03291384,TrÃ¡fico,5,53.824,Sunday,Q2,2.032913843,Éxito Total,Tráfico,FALSE
Ecommerce - TrÃ¡fico,General,Salas de Juntas #1,07/05/2023,Clics en el enlace,1,1.20567376,1.01,1.01,170,5.94117647,1,1.01,0.58823529,TrÃ¡fico,5,1.1716,Sunday,Q1,0.588235294,Éxito Total,Tráfico,FALSE
Ecommerce - TrÃ¡fico,General,Cowork #2,07/05/2023,Sin resultado,0,1.16666667,0,0.26,42,6.19047619,0,0,0,TrÃ¡fico,5,0.3016,Sunday,Q1,0,Campaña fallida,Tráfico,FALSE
Awareness - WARM,WARM - Audiencias Similares,warm #2,07/06/2023,Alcance,34417,1.01847924,4.02,138.36,35053,3.94716572,19,7.28210526,0.05420363,Reconocimiento,6,160.4976,Wednesday,Q3,0.054203635,"Poca visibilidad, buen cierre",Awareness,FALSE
