day,campaign,campaign_type,ad_group,ad_name,ad_type,campaign_bid_strategy_type,ad_group_bid_strategy_type,ctr,avg_cpc,impr,cvr,clicks,cost__conv,conversions,cost,avg_cpm,mes,cost_con_iva,dia_semana,cuartil,quadrant,categoria_campana,outlier_flag
2025-07-14,Cowork - 2024 - GDL,Search,Cowork GDL,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.042300000000000004,95.98,71.0,0.0,3.0,0.0,0.0,287.94,4055.54,7,334.01039999999995,Monday,Q3,"Poca visibilidad, buen cierre",Conversiones,False
2025-07-14,Cowork - 2024 - MTY,Search,Cowork MTY,--,Responsive search ad,Maximize Conversion Value,Maximize Conversion Value,0.06559999999999999,90.9,61.0,0.0,4.0,0.0,0.0,363.62,5960.93,7,421.7992,Monday,Q3,Éxito Total,Conversiones,False
2025-07-14,Adaptalo a ti - 2024 - CDMX,Search,Domicilio Fiscal,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.3,49.28,10.0,0.0,3.0,0.0,0.0,147.85,14785.0,7,171.50599999999997,Monday,Q2,Éxito Total,Conversiones,True
2025-07-14,Adaptalo a ti - 2024 - CDMX,Search,Oficinas Por Hora,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.0809,39.69,272.0,0.0455,22.0,873.15,1.0,873.15,3210.11,7,1012.8539999999999,Monday,Q4,Éxito Total,Conversiones,False
2025-07-14,Adaptalo a ti - 2024 - CDMX,Search,Oficinas Virtuales,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.2143,20.65,42.0,0.0,9.0,0.0,0.0,185.84,4424.78,7,215.5744,Monday,Q3,Éxito Total,Conversiones,False
2025-07-14,Adaptalo a ti - 2024 - CDMX,Search,Oficinas Virtuales,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.15380000000000002,22.12,13.0,0.0,2.0,0.0,0.0,44.23,3402.31,7,51.306799999999996,Monday,Q1,Éxito Total,Conversiones,True
2025-07-14,Adaptalo a ti - 2024 - GDL,Search,Domicilio Fiscal,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.0526,8.01,19.0,0.0,1.0,0.0,0.0,8.01,421.58,7,9.291599999999999,Monday,Q1,"Poca visibilidad, buen cierre",Conversiones,False
2025-07-14,Adaptalo a ti - 2024 - GDL,Search,Oficinas Por Hora,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.0901,19.94,111.0,0.0,10.0,0.0,0.0,199.44,1796.76,7,231.35039999999998,Monday,Q3,Éxito Total,Conversiones,False
2025-07-14,Adaptalo a ti - 2024 - GDL,Search,Oficinas Virtuales,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.21739999999999998,23.11,23.0,0.0,5.0,0.0,0.0,115.57,5024.69,7,134.06119999999999,Monday,Q2,Éxito Total,Conversiones,False
2025-07-14,Adaptalo a ti - 2024 - MTY,Search,Domicilio Fiscal,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.1765,46.85,17.0,0.0,3.0,0.0,0.0,140.55,8267.65,7,163.038,Monday,Q2,Éxito Total,Conversiones,False
2025-07-14,Adaptalo a ti - 2024 - MTY,Search,Oficinas Por Hora,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.0645,38.53,248.0,0.0,16.0,0.0,0.0,616.55,2486.07,7,715.1979999999999,Monday,Q4,Éxito Total,Conversiones,False
2025-07-14,Adaptalo a ti - 2024 - MTY,Search,Oficinas Virtuales,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.1818,31.19,33.0,0.0,6.0,0.0,0.0,187.16,5671.41,7,217.10559999999998,Monday,Q3,Éxito Total,Conversiones,False
2025-07-14,Adaptalo a ti - 2024 - TIJ,Search,Oficinas Por Hora,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.22219999999999998,47.29,36.0,0.25,8.0,189.18,2.0,378.35,10509.72,7,438.886,Monday,Q3,Éxito Total,Conversiones,False
